date,tmin,tmax,tavg,year,month,season,day,diff
18867,24,37,42.5,1951,8,Summer,27,9.506805293
18868,22.3,36,40.3,1951,8,Summer,28,8.943352237
18869,23.6,33.3,40.25,1951,8,Summer,29,9.320478891
18870,23.4,33,39.9,1951,8,Summer,30,9.22621118
18871,23.9,31.8,39.8,1951,8,Summer,31,9.550807453
18872,21.5,30.5,36.75,1951,9,Fall,1,8.993236715
18873,16.8,30.9,32.25,1951,9,Fall,2,9.403864734
18874,31.4,32.1,31.75,1951,9,Fall,3,9.042028986
18875,18,31.7,33.85,1951,9,Fall,4,9.960869565
18876,19.8,25.5,32.55,1951,9,Fall,5,9.668115942
18877,17,30,32,1951,9,Fall,6,9.095652174
18878,15.8,28.7,30.15,1951,9,Fall,7,8.869117647
18879,16.2,27.4,29.9,1951,9,Fall,8,9.52173913
18880,18.1,23.3,29.75,1951,9,Fall,9,8.866666667
18881,19.3,29.8,34.2,1951,9,Fall,10,9.413043478
18882,17.2,27.4,30.9,1951,9,Fall,11,9.456521739
18883,26.8,28.7,27.75,1951,9,Fall,12,8.808823529
18884,18.7,30,33.7,1951,9,Fall,13,8.514492754
18885,16.4,28.1,30.45,1951,9,Fall,14,8.713043478
18886,18.1,23,29.6,1951,9,Fall,15,8.817391304
18887,19.5,24.7,31.85,1951,9,Fall,16,8.710144928
18888,15.7,26.8,29.1,1951,9,Fall,17,8.58115942
18889,17.5,25.2,30.1,1951,9,Fall,18,8.662318841
18890,16.2,28.4,30.4,1951,9,Fall,19,8.923188406
18891,22.2,25,23.6,1951,9,Fall,20,8.904347826
18892,23.8,27.2,25.5,1951,9,Fall,21,9.829951691
18893,27.2,27.4,27.3,1951,9,Fall,22,8.839613527
18894,25.6,29,27.3,1951,9,Fall,23,8.997101449
18895,13.8,25.6,26.6,1951,9,Fall,24,8.456521739
18896,16.6,24.4,28.8,1951,9,Fall,25,8.592753623
18897,18.1,22.6,29.4,1951,9,Fall,26,8.35942029
18898,15.2,26.5,28.45,1951,9,Fall,27,8.362318841
18899,24.4,28.7,26.55,1951,9,Fall,28,7.798550725
18900,25.4,26,25.7,1951,9,Fall,29,8.450724638
18901,18.5,22.3,29.65,1951,9,Fall,30,7.464705882
18902,17.9,26,30.9,1952,10,Fall,1,8.579689441
18903,14.9,26.2,28,1952,10,Fall,2,8.377142857
18904,15,25.2,27.6,1952,10,Fall,3,8.962857143
18905,23.4,26.2,24.8,1952,10,Fall,4,8.557619048
18906,27.6,27.9,27.75,1952,10,Fall,5,8.035238095
18907,22.4,24.1,23.25,1952,10,Fall,6,8.3
18908,18.8,26.7,22.75,1952,10,Fall,7,7.863768116
18909,17.2,22.1,28.25,1952,10,Fall,8,7.625714286
18910,16.9,28.8,31.3,1952,10,Fall,9,7.878571429
18911,27.6,29.6,28.6,1952,10,Fall,10,8.094285714
18912,26,29.2,27.6,1952,10,Fall,11,7.857142857
18913,15.4,27.4,29.1,1952,10,Fall,12,8.017142857
18914,15.6,24.5,27.85,1952,10,Fall,13,7.504761905
18915,17.2,21.6,28,1952,10,Fall,14,7.598095238
18916,16.1,26,29.1,1952,10,Fall,15,7.798571429
18917,24.4,26.4,25.4,1952,10,Fall,16,7.247142857
18918,24.2,27.9,26.05,1952,10,Fall,17,6.987142857
18919,22.6,28.5,25.55,1952,10,Fall,18,7.355714286
18920,26.2,28.3,27.25,1952,10,Fall,19,6.795714286
18921,15.6,27.2,29.2,1952,10,Fall,20,7.037142857
18922,15.3,24.9,27.75,1952,10,Fall,21,6.915714286
18923,21.6,21.6,21.6,1952,10,Fall,22,6.308571429
18924,10.6,17.5,19.35,1952,10,Fall,23,7.28
18925,14.2,22.2,25.3,1952,10,Fall,24,6.244285714
18926,12.8,22.7,24.15,1952,10,Fall,25,6.935714286
18927,21.2,21.5,21.35,1952,10,Fall,26,6.545714286
18928,15.2,18.8,17,1952,10,Fall,27,7.63
18929,9.7,18,18.7,1952,10,Fall,28,7.122857143
18930,13,25,25.5,1952,10,Fall,29,6.258571429
18931,11.4,20.1,21.45,1952,10,Fall,30,7.232857143
18932,16.2,22.7,19.45,1952,10,Fall,31,7.097142857
18933,14.2,20.3,17.25,1952,11,Fall,1,6.987142857
18934,12.3,18,21.3,1952,11,Fall,2,6.44
18935,9.2,15.4,16.9,1952,11,Fall,3,6.972857143
18936,16.4,20.5,18.45,1952,11,Fall,4,6.971428571
18937,12,15.7,13.85,1952,11,Fall,5,6.642857143
18938,9,19.9,14.45,1952,11,Fall,6,6.386428571
18939,16,18.4,17.2,1952,11,Fall,7,7.005797101
18940,8.7,16.5,16.95,1952,11,Fall,8,6.942857143
18941,9.8,16.1,12.95,1952,11,Fall,9,7.057142857
18942,6.4,18.1,12.25,1952,11,Fall,10,6.95
18943,9.4,17.9,13.65,1952,11,Fall,11,6.312857143
18944,11,14.1,12.55,1952,11,Fall,12,6.725714286
18945,9.9,18.7,19.25,1952,11,Fall,13,6.902857143
18946,13,21.9,17.45,1952,11,Fall,14,6.322857143
18947,17.2,17.9,17.55,1952,11,Fall,15,6.711428571
18948,10.7,19.6,20.5,1952,11,Fall,16,7.037142857
18949,13.8,15.8,14.8,1952,11,Fall,17,6.002857143
18950,10.4,16.8,13.6,1952,11,Fall,18,7.723571429
18951,8.2,16.8,12.5,1952,11,Fall,19,6.722142857
18952,14,20,17,1952,11,Fall,20,7.304285714
18953,8,18.7,13.35,1952,11,Fall,21,7.594285714
18954,5.2,18.8,12,1952,11,Fall,22,6.818571429
18955,12.6,17.2,14.9,1952,11,Fall,23,8.162857143
18956,17.4,19.2,18.3,1952,11,Fall,24,6.931428571
18957,8.6,13.9,11.25,1952,11,Fall,25,6.509178744
18958,6,11.4,8.7,1952,11,Fall,26,6.496666667
18959,4.6,10,7.3,1952,11,Fall,27,6.505714286
18960,0.2,7.2,3.7,1952,11,Fall,28,7.869565217
18961,-3.4,12.5,4.55,1952,11,Fall,29,7.495714286
18962,3,12.4,7.7,1952,11,Fall,30,6.874285714
18963,2.2,13.3,7.75,1952,0,Winter,1,7.650714286
18964,0,15.2,7.6,1952,0,Winter,2,7.716666667
18965,7.8,15.6,11.7,1952,0,Winter,3,7.607261905
18966,2.4,11.8,7.1,1952,0,Winter,4,8.027142857
18967,5.8,9.8,7.8,1952,0,Winter,5,7.510714286
18968,2.4,12.8,7.6,1952,0,Winter,6,7.694285714
18969,2.2,14.2,8.2,1952,0,Winter,7,8.123095238
18970,9.2,14.7,11.95,1952,0,Winter,8,7.993333333
18971,4,15.6,9.8,1952,0,Winter,9,6.885714286
18972,0.8,14.6,7.7,1952,0,Winter,10,7.841428571
18973,5,15.6,10.3,1952,0,Winter,11,8.216071429
18974,1,15.1,8.05,1952,0,Winter,12,8.303571429
18975,8.8,16.2,12.5,1952,0,Winter,13,7.970357143
18976,8,13.3,10.65,1952,0,Winter,14,8.032857143
18977,-0.2,9.2,4.5,1952,0,Winter,15,7.575952381
18978,-1.8,6.6,2.4,1952,0,Winter,16,8.590952381
18979,1.2,8.8,5,1952,0,Winter,17,7.904095238
18980,-3.8,12.4,4.3,1952,0,Winter,18,7.733428571
18981,-0.8,17.1,8.15,1952,0,Winter,19,7.352285714
18982,10.6,17.1,13.85,1952,0,Winter,20,7.252571429
18983,5.8,17.3,11.55,1952,0,Winter,21,7.77
18984,6.2,11.3,11.85,1952,0,Winter,22,8.355714286
18985,16.4,17.9,17.15,1952,0,Winter,23,7.751008403
18986,6.4,13.3,9.85,1952,0,Winter,24,8.537731092
18987,0.2,8.4,4.3,1952,0,Winter,25,7.965882353
18988,7.5,13.8,14.4,1952,0,Winter,26,6.894033613
18989,5.6,10.9,8.25,1952,0,Winter,27,7.66789916
18990,2.4,12.1,7.25,1952,0,Winter,28,8.098907563
18991,5,8.8,6.9,1952,0,Winter,29,8.309201681
18992,1.4,9,5.2,1952,0,Winter,30,8.932352941
18993,11.2,12,11.6,1952,0,Winter,31,8.251932773
18994,8.2,14.1,11.15,1952,1,Winter,1,8.150787075
18995,4,7.8,5.9,1952,1,Winter,2,7.805302403
18996,1.8,9.3,5.55,1952,1,Winter,3,8.726014913
18997,-3.4,10.4,3.5,1952,1,Winter,4,8.386164043
18998,2.2,11.5,6.85,1952,1,Winter,5,7.846313173
18999,2.4,6.7,4.55,1952,1,Winter,6,8.267025684
19000,3.8,10.5,7.15,1952,1,Winter,7,8.237033969
19001,-0.2,8.4,4.1,1952,1,Winter,8,8.278403756
19002,-0.6,6.2,2.8,1952,1,Winter,9,9.126525822
19003,-3.6,6.9,1.65,1952,1,Winter,10,8.41971831
19004,5.2,8.5,6.85,1952,1,Winter,11,7.898571429
19005,-2.4,4.6,1.1,1952,1,Winter,12,7.697652582
19006,-3,7.4,2.2,1952,1,Winter,13,8.450704225
19007,3,5.7,5.85,1952,1,Winter,14,7.929577465
19008,-0.2,9.7,4.75,1952,1,Winter,15,8.094366197
19009,-1.8,8.5,3.35,1952,1,Winter,16,8.770422535
19010,0.2,9.9,5.05,1952,1,Winter,17,9.109859155
19011,-1.8,6.4,2.3,1952,1,Winter,18,8.858215962
19012,-4,7.7,1.85,1952,1,Winter,19,8.243661972
19013,-2.6,10.3,3.85,1952,1,Winter,20,8.899061033
19014,1.8,12.7,7.25,1952,1,Winter,21,9.01971831
19015,3.6,11.8,7.7,1952,1,Winter,22,8.009859155
19016,0.6,11.1,5.85,1952,1,Winter,23,8.279285714
19017,-2.6,9.8,3.6,1952,1,Winter,24,7.936619718
19018,-2,5.6,1.8,1952,1,Winter,25,8.921126761
19019,-2.6,5.8,1.6,1952,1,Winter,26,9.190140845
19020,-5,6.3,0.65,1952,1,Winter,27,9.432394366
19021,-3.8,6.6,1.4,1952,1,Winter,28,9.373239437
19022,5.4,6.9,6.15,1952,1,Winter,29,8.314084507
19023,4,13.8,8.9,1952,1,Winter,30,8.247887324
19024,2.6,4.4,3.5,1952,1,Winter,31,9.207042254
19025,1.2,9.7,5.45,1952,2,Winter,1,8.869014085
19026,-0.4,8.8,4.2,1952,2,Winter,2,9.066197183
19027,0,6.2,3.1,1952,2,Winter,3,8.992957746
19028,-4,6.8,1.4,1952,2,Winter,4,9.276056338
19029,-10.6,3.2,-3.7,1952,2,Winter,5,8.654929577
19030,-9.4,4.5,-2.45,1952,2,Winter,6,9.264788732
19031,-1,1.3,0.15,1952,2,Winter,7,9.285915493
19032,-0.2,9.9,4.85,1952,2,Winter,8,9.426760563
19033,-5.2,8.8,1.8,1952,2,Winter,9,8.411267606
19034,1.6,9.3,5.45,1952,2,Winter,10,8.428873239
19035,-4.4,7.5,1.55,1952,2,Winter,11,8.484976526
19036,-4.2,6.7,1.25,1952,2,Winter,12,9.279107981
19037,6.2,9.2,7.7,1952,2,Winter,13,8.835714286
19038,0.2,11,5.6,1952,2,Winter,14,8.925714286
19039,-2.4,5.2,1.4,1952,2,Winter,15,8.955
19040,6.8,11,8.9,1952,2,Winter,16,8.634285714
19041,2.4,7.4,4.9,1952,2,Winter,17,8.095714286
19042,1.4,4.4,2.9,1952,2,Winter,18,8.346428571
19043,-0.4,6.6,3.1,1952,2,Winter,19,9.115714286
19044,-2.2,8.5,3.15,1952,2,Winter,20,9.371428571
19045,-3,7.5,2.25,1952,2,Winter,21,9.12
19046,-5.8,8.8,1.5,1952,2,Winter,22,8.567142857
19047,-3,9,3,1952,2,Winter,23,9.934285714
19048,-0.6,7.3,3.35,1952,2,Winter,24,8.682857143
19049,-2.2,6,1.9,1952,2,Winter,25,8.747142857
19050,5.2,10.7,7.95,1952,2,Winter,26,8.047142857
19051,1.6,11.1,6.35,1952,2,Winter,27,9.388571429
19052,6.2,11.2,8.7,1952,2,Winter,28,9.584285714
19053,4.6,13.2,8.9,1952,2,Winter,29,9.461111111
19054,-2,10.7,4.35,1952,3,Spring,1,8.552857143
19055,2,11.5,6.75,1952,3,Spring,2,9.41
19056,4,14,9,1952,3,Spring,3,9.347142857
19057,-1,6.5,2.75,1952,3,Spring,4,9.165217391
19058,2.8,8.9,5.85,1952,3,Spring,5,8.380714286
19059,5.8,12.5,9.15,1952,3,Spring,6,8.968115942
19060,2.4,6.6,4.5,1952,3,Spring,7,8.909285714
19061,5.6,12.6,9.1,1952,3,Spring,8,8.5
19062,4.2,16.3,10.25,1952,3,Spring,9,9.597142857
19063,2.8,8.9,5.85,1952,3,Spring,10,8.022857143
19064,-1.8,7.7,2.95,1952,3,Spring,11,8.770714286
19065,-4,8.5,2.25,1952,3,Spring,12,9.417142857
19066,-2.8,12.8,5,1952,3,Spring,13,9.189285714
19067,6.7,11.4,12.4,1952,3,Spring,14,9.365714286
19068,3.6,18.4,11,1952,3,Spring,15,8.930714286
19069,6.6,17.4,12,1952,3,Spring,16,8.748571429
